,show_title,id,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,Show_title
108,echoes,tt14954498,series,"Leni and Gina are identical twins who have secretly swapped their lives since they were children, culminating in a double life as adults, but one of the sisters goes missing and everything in their perfectly schemed world turns in...",2022,TV-MA,N/A,"Drama, Mystery, Thriller","Australia, United States",tt14954498,5.9,"10,167",echoes
109,pasión de gavilanes,tt0387763,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527",pasión de gavilanes
110,entrapped,tt21964626,series,Police investigate the disappearance of a cult member.,2022–,TV-MA,N/A,"Crime, Drama, Mystery",Iceland,tt21964626,7.0,"1,083",entrapped
111,family secrets,tt19723700,series,A couple's wedding day threatens to turn disastrous when they begin to unravel a web of secrets and lies that connects their two families.,2022–,TV-MA,N/A,"Comedy, Drama, Romance",Poland,tt19723700,6.0,412,family secrets
112,that's amor,tt21388556,movie,"After her job and relationship implode on the same day, Sofia starts from scratch and meets a dashing Spanish chef who might be her missing ingredient.",2022,TV-14,96 min,"Comedy, Romance",United States,tt21388556,5.2,"2,546",that's amor
113,look both ways,tt14298328,movie,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career.",2022,TV-14,110 min,"Comedy, Drama, Romance",United States,tt14298328,6.3,"15,572",look both ways
114,day shift,tt13314558,movie,"A hard-working, blue-collar dad just wants to provide a good life for his quick-witted 10-year-old daughter. His mundane San Fernando Valley pool cleaning job is a front for his real source of income: hunting and killing vampires.",2022,R,113 min,"Action, Comedy, Fantasy",United States,tt13314558,6.1,"70,257",day shift
115,the next 365 days,tt21106646,movie,Laura and Massimo's relationship hangs in the balance as they try to overcome trust issues and jealousy while a tenacious Nacho works to push them apart.,2022,TV-MA,112 min,"Drama, Romance",Poland,tt21106646,2.7,"5,835",the next 365 days
116,purple hearts,tt4614584,movie,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.",2022,TV-14,122 min,"Drama, Music, Romance",United States,tt4614584,6.7,"35,776",purple hearts
117,the figo affair: the transfer that changed football,tt21836538,movie,This documentary spotlights one of the most contentious deals in football history and the extraordinary player at the center of the storm: Luís Figo.,2022,TV-MA,105 min,"Documentary, Sport",United Kingdom,tt21836538,7.1,"3,815",the figo affair: the transfer that changed football
118,royalteen,tt15022184,movie,"Follows prince Karl Johan and newcomer Lena, who have feelings for each other but are aware that their relationship might put them in an impossible situation, while he has to carry a nation on his shoulders, she carries lies on hers.",2022,TV-MA,107 min,"Drama, Romance",Norway,tt15022184,5.2,"1,686",royalteen
119,rise of the legend,tt3469592,movie,"An orphan, whose father has been killed by dark power, attempts to bring justice back to the town.",2014,Not Rated,131 min,"Action, Biography, Drama","Hong Kong, China",tt3469592,6.4,"3,969",rise of the legend
120,"watch out, we're mad",tt0069697,movie,"After a tied first place in a local stunt race, two drivers start a contest to decide which of them will own the prize, a dune buggy. But when a mobster destroys the car, they are determined to get it back.",1974,G,102 min,"Action, Comedy","Italy, Spain",tt0069697,7.3,"12,688","watch out, we're mad"
121,i am a killer,tt8300324,series,"Follows Death Row inmates, who tell the story of how they ended up there.",2018–2022,TV-MA,3 min,"Documentary, Crime",United Kingdom,tt8300324,7.4,"4,342",i am a killer
122,selling the oc,tt15907000,series,"Jason Oppenheim, owner of the Oppenheim Group, expands the company opening a second office in Newport Beach.",2022–,TV-MA,1 min,Reality-TV,United States,tt15907000,5.5,823,selling the oc
123,kleo,tt15135104,series,"After the fall of the Berlin Wall, a former spy killer is set free and embarks on a revenge spree against the people who conspired to betray her.",2022–,TV-MA,N/A,"Action, Crime, Drama",Germany,tt15135104,7.4,"7,215",kleo
124,ludik,tt21341988,series,"To save a kidnapped family member, an enterprising furniture tycoon must use his secret diamond smuggling operation to transport guns across the border.",2022–,TV-MA,N/A,"Crime, Drama",South Africa,tt21341988,5.7,460,ludik
125,under fire,tt0086510,movie,Three journalists in a romantic triangle are involved in political intrigue during the last days of the corrupt Somozoa regime in Nicaragua before it falls to a popular revolution in 1979.,1983,R,128 min,"Drama, War","United States, Mexico",tt0086510,7.0,"7,900",under fire
126,another self,tt14899624,series,Three close friends set off on a journey to Ayvalik and then to their reshaped future.,2022–,TV-MA,1 min,"Drama, Romance",Turkey,tt14899624,6.4,"3,333",another self
127,the mummy,tt0120616,movie,"At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.",1999,PG-13,124 min,"Action, Adventure, Fantasy",United States,tt0120616,7.1,"428,734",the mummy
128,running with the devil: the wild world of john mcafee,tt21379574,movie,Life and death of software pioneer John McAfee who developed the software: McAfee Antivirus.,2022,TV-MA,105 min,"Documentary, Crime",United Kingdom,tt21379574,5.9,"2,842",running with the devil: the wild world of john mcafee
129,untold: the girlfriend who didn't exist,tt21340300,movie,"From Notre Dame to the NFL, Manti Te'o's future in football showed promise until a secret online relationship sent his life and career spiraling.",2022,TV-MA,124 min,"Documentary, Biography, Sport",United States,tt21340300,7.2,"5,524",untold: the girlfriend who didn't exist
130,the great wall,tt2034800,movie,"In ancient China, a group of European mercenaries encounters a secret army that maintains and defends the Great Wall of China against a horde of monstrous creatures.",2016,PG-13,103 min,"Action, Adventure, Fantasy","United States, China, Hong Kong, Australia, Canada",tt2034800,5.9,"136,570",the great wall
131,fullmetal alchemist: the revenge of scar,tt18671386,movie,"When a mysterious figure starts to target State Alchemists for their sins against God, Alchemist Edward Elric and his brother Alphonse are at their most vulnerable, meanwhile the homunculi begin to unveil themselves once again.",2022,TV-14,125 min,"Action, Adventure, Fantasy",Japan,tt18671386,5.3,"1,531",fullmetal alchemist: the revenge of scar
132,the assistant,tt9000224,movie,"A searing look at a day in the life of an assistant to a powerful executive. As Jane follows her daily routine, she grows increasingly aware of the insidious abuse that threatens every aspect of her position.",2019,R,87 min,Drama,United States,tt9000224,6.4,"23,005",the assistant
